COMMENT,Note: An 'x' indicates that a particular quality criteria is given. A 'v' indicates that the paper does not qualify for the criteria.,,,,,,,,,,,,,,
Title,Authors,Year,Clear research topic,Clear end product,Placed in context,Quantifiable experiments,Qualitative testing,Experimental outcome indicated,Theoretical justification,SOTA comparison,Outperforms SOTA,Definitively novel,Published in respectable channel,Definitively using machine learning,Applied to real world problem
Tracking Quantiles of Network Data Streams with Dynamic Operations,"Cao, Jin and Li, Li Erran and Chen, Aiyou and Bu, Tian",,x,x,v,v,v,v,v,v,v,x,v,x,v
Mining accurate top-K frequent closed itemset from data stream,"Cao, X.",2012,x,x,v,x,v,x,v,v,v,x,v,x,v
Hierarchical feedback adaptation for real time sensor-based distributed applications,"Cardei, Mihaela and Cardei, Ionut and Jha, Rakesh and Pavan, Allalaghatta",2000,x,x,v,x,v,v,v,v,v,v,v,v,v
Online Techniques for Dealing with Concept Drift in Process Mining,"Carmona, Josep and Gavald\`{a}, Ricard",,x,x,x,v,v,v,v,x,x,v,v,x,v
2nd Workshop on Applications of Pattern Analysis Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification,"Carmona-cejudo, Jos\'{e} M. and Baena-garc\'{\i}a, Manuel and Gama, Jo\~{a}o and Bifet, Albert and Diethe, Tom and Balc\'{a}zar, Jos\'{e} L. and Shawe-taylor, John and T\^{\i}rnÄƒucÄƒ, Cristina",,x,x,x,v,v,v,v,v,v,v,v,x,x
Online Matching of Web Content to Closed Captions in IntoNow,"Castillo, Carlos and De, Gianmarco and Morales, Francisci and Shekhawat, Ajay",,v,x,v,v,v,v,v,v,v,v,v,x,x
Relational Frequent Patterns Mining for Novelty Detection from Data Streams,"Ceci, Michelangelo and Loglisci, Corrado and Caruso, Costantina and Fumarola, Fabio and Valente, Carmine and Malerba, Donato",,x,x,x,x,x,v,v,v,v,x,v,x,x
A Multi-Domain Architecture for Mining Frequent Items and Itemsets from Distributed Data Streams,"Cesario, E.a and Mastroianni, C.a and Talia, D.b",2014,x,x,v,x,v,v,v,v,v,v,v,x,v
A novel conceptual framework for mining high speed data streams,"Chandrika, J. and {Ananda Kumar}, K. R.",2011,x,x,x,v,v,v,v,v,v,x,v,x,v
"Finding recently frequent itemsets adaptively over online transactional data streams,","Chang, J.H. and Lee, W.S.",2006,x,x,x,x,v,v,v,v,v,x,v,x,v
Effect of count estimation in finding frequent itemsets over online transactional data streams,"Chang, J.H. and Lee, W.S.",2005,x,x,v,x,v,x,v,v,v,x,v,x,x
A sliding window method for finding recently frequent itemsets over online data streams,"Chang, J.H. and Lee, W.S.",2004,x,x,x,v,v,v,v,v,v,x,v,x,v
Finding recent frequent itemsets adaptively over online data streams,"Chang, J.H. and Lee, W.S.",2003,x,x,x,x,v,v,v,v,v,x,x,x,v
Efficient mining method for retrieving sequential patterns over online data streams,"Chang, J.H.a b and Lee, W.S.a",2005,x,x,v,v,v,v,v,v,v,x,v,x,v
estWin: Online data stream mining of recent frequent itemsets by sliding window method,"Chang, J.H.a b and Lee, W.S.a",2005,x,x,x,v,v,v,v,v,v,x,v,x,v
Efficient subset-lattice algorithms for mining closed frequent itemsets and maximal frequent itemsets in data streams,"Chang, Y.-I. and Li, C.-E. and Peng, W.-H. and Wang, S.-Y.",2013,x,x,x,x,v,x,v,v,v,x,v,x,v
A set-checking algorithm for mining maximal frequent itemsets from data streams,"Chang, Y.-I. and Tsai, M.-H. and Li, C.-E. and Lin, P.-Y.",2013,x,x,x,x,v,x,v,v,v,x,v,x,v
Detection for Anomaly Data in Microseismic Survey,"Chang-peng, Ji and Li-li, Liu",2009,x,x,x,x,v,x,v,x,v,x,v,x,x
Resource-Aware Density-and-Grid-Based Clustering in Ubiquitous Data Streams,"Chao, Ching-Ming and Chao, Guan-Lin",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
An Online Web Usage Mining System Using Stochastic Timed Petri Nets,"Chao, Ching-Ming and Yang, Shih-Yang and Chen, Po-Zung and Sun, Chu-Hao",2011,x,x,x,v,v,v,v,v,v,x,v,x,x
Knowledge discovery using genetic algorithm for maritime situational awareness,"Chen, C.-H.a and Khoo, L.P.a and Chong, Y.T.b and Yin, X.F.c",2014,x,x,v,v,v,v,v,v,v,x,v,x,x
Efficiently mining recent frequent patterns over online transactional data streams,"Chen, H.",2009,x,x,x,x,v,x,v,x,x,x,v,x,x
Mining frequent patterns in a varying-size sliding window of online transactional data streams,Hui Chen and LihChyun Shu and Jiali Xia and Qingshan Deng,2012,x,x,v,x,v,x,x,x,x,x,v,x,v
Wavelet-based amnesic synopses for data streams,"Chen, H.a b and Shi, B.a",2009,x,x,x,x,v,v,v,v,v,x,v,x,v
GC-tree: A fast online algorithm for mining frequent closed itemsets,"Chen, J. and Li, S.",2007,x,x,x,x,v,x,v,x,v,x,v,x,v
Supporting self-adaptation in streaming data mining applications,"Chen, L. and Agrawal, G.",2006,x,x,x,v,x,v,v,v,v,v,v,x,v
Experience in Continuous analytics as a Service (CaaaS),"Chen, Qiming and Hsu, Meichun and Zeller, Hans",,x,v,v,x,x,x,v,v,v,x,v,v,v
An in-database streaming solution to multi-camera fusion,"Chen, Q.a and Li, Q.b and Hsu, M.a and Yu, T.b",2009,x,x,x,x,v,x,v,v,v,x,v,x,v
An approach to online Bayesian learning from multiple data streams,"Chen, R. and Sivakumar, K. and Kargupta, H.",2001,x,x,v,x,v,x,v,v,v,v,v,x,x
Stop Chasing Trends: Discovering High Order Models in Evolving Data,"Chen, Shixi and Wang, Haixun and Zhou, Shuigeng and Yu, Philip S.",2008,x,x,x,x,v,x,v,x,x,x,x,x,v
Online Analytical Processing Stream Data: Is It Feasible?,"Chen, Yixin and Dong, Guozhu and Han, Jiawei and Pe, Jian and Wah, Benjamin W. and Wang, Jianyong",2002,x,x,v,v,v,v,v,v,v,v,v,x,v
Multi-dimensional regression analysis of time-series data streams,"Chen, Yixin and Dong, Guozhu and Han, Jiawei and Wah, Benjamin W. and Wang, Jianyong",2002,x,x,v,x,v,v,v,v,v,x,v,x,v
Online fractal dimensionality reduction in time decaying stream environment,"Chen, Zhizhong and He, Ruichun and Li, Yinzhen",2011,x,x,x,x,v,x,v,v,v,x,v,x,v
Peckalytics: Analyzing experts and interests on twitter,"Cheng, A. and Bansal, N. and Koudas, N.",2013,x,x,v,v,x,v,v,v,v,v,v,v,x
Analysis model over data stream based on radial basis statistical network,"Cheng, Y.-H. and Liu, B. and Wang, X.-S.",2010,x,x,v,x,v,x,x,v,v,x,v,x,v
An online spatio-temporal association rule mining framework for analyzing and estimating sensor data,"Chok, H. and Gruenwald, L.",2009,x,x,v,x,v,x,v,v,v,v,v,x,v
Learning from evolving data streams: online triage of bug reports,"Chrupala, Grzegorz",2012,x,x,x,x,v,v,v,v,v,v,v,x,x
Data stream mining architecture for network intrusion detection,"Chu, N.C.N. and Williams, A. and Alhaj, R. and Barker, K.",2004,x,x,x,v,v,v,v,v,v,x,v,x,x
Discovering Trend-Based Clusters in Spatially Distributed Data Streams,"Ciampi, Anna and Malerba, Donato",,x,x,v,x,v,x,v,v,v,x,v,x,v
Info-fuzzy algorithms for mining dynamic data streams,"Cohen, L.a and Avrahami, G.a and Last, M.a and Kandel, A.b",2008,x,v,x,x,v,v,v,x,x,x,v,x,x
1 Activity Discovery and Activity Recognition: A New Partnership,"Cook, Diane and Krishnan, Narayanan and Rashidi, Parisa",,x,v,x,x,v,v,v,v,v,v,v,x,x
StreamNetFlux: Birth of transparent integrated CEP-DBs,"Costa, J.P.a and Martins, P.b and CecÃƒÂ­lio, J.b and Furtado, P.b",2010,x,x,x,v,x,v,v,v,v,v,v,v,x
SHStream: Self-healing framework for HTTP video-streaming,"Cunha, C.A. and Moura E. Silva, L.",2013,x,x,v,x,v,x,v,v,v,v,v,x,x
Online learning based on prototypes,"Czarnowski, I. and JÃˆÂ©drzejowicz, P.",2014,x,v,v,x,v,v,v,v,v,x,v,x,v
Proceedings of the Twenty-Third International Joint Conference on Artificial Intelligence A Lossy Counting Based Approach for Learning on Streams of Graphs on a Budget,"Da, Giovanni and Martino, San and Navarin, Nicol\`{o} and Sperduti, Ro",,x,x,v,v,v,v,v,v,v,x,x,x,v
Finding Maximal Frequent Itemsets over Online Data Streams Adaptively,{Daesu Lee} and {Wonsuk Lee},2005,x,x,v,x,v,v,v,v,v,x,v,x,v
Evolutionary online data mining: An investigation in a dynamic environment,"Dam, H.H. and Lokan, C. and Abbass, H.A.",2007,x,x,x,x,v,x,v,v,v,x,v,x,v
Online mining of frequent sets in data streams with error guarantee,"Dang, X.H.a and Ng, W.-K.a and Ong, K.-L.b",2008,x,x,x,x,v,x,x,x,x,x,v,x,v
Discovering frequent sets from data streams with CPU constraint,"Dang, X.H.a and NG, W.-K.a and Ong, K.-L.b and Lee, V.C.S.c",2007,x,x,v,x,v,x,x,v,v,x,v,x,v
Kaal - A Real Time Stream Mining Algorithm,"Dass, Rajanish and Kumar, Varun",2010,x,x,x,v,v,v,v,x,x,x,v,x,v
Intelligence and Security Informatics,"Demers, Alan and Gehrke, Johannes and Hong, Mingsheng and Riedewald, Mirek",2005,v,v,v,v,v,v,v,v,v,v,v,x,x
On Sample Selection Bias in Large-Scale Online Stream Mining: a Model Indexing Approach,"Deng, Xiong and Ghanem, Moustafa M. and Guo, Yike",,x,x,x,x,v,x,v,x,x,x,v,x,v
CLUES: A Unified Framework Supporting Interactive Exploration of Density-Based Clusters in Streams,"{Di Yang} and Yang, Di and Guo, Zhenyu and Rundensteiner, Elke A. and Ward, Matthew O.",,x,x,x,x,x,x,v,v,v,x,v,x,x
Interactive Visual Exploration of Neighbor-Based Patterns in Data Streams âˆ—,"{Di Yang} and Yang, Di and Guo, Zhenyu and Xie, Zaixian and Rundensteiner, Elke and Ward, Matthew",,x,x,v,v,x,v,v,v,v,v,v,v,v
Summarization and Matching of Density-Based Clusters in Streaming Environments âˆ—,"{Di Yang} and Yang, Di and Rundensteiner, Elke A. and Ward, Matthew O.",,x,x,x,x,v,x,v,x,x,x,v,x,v
Mining and Linking Patterns across Live Data Streams and Stream Archives âˆ—,"{Di Yang} and Yang, Di and Zhao, Kaiyu and Lu, Hanyuan and Hasan, Maryam and Rundensteiner, Elke and Ward, Matthew",,x,x,v,v,v,v,v,v,v,v,v,x,v
Classification and dynamic class detection of real time data for tsunami warning system,"Dilectin, H. D. and Mercy, R. B. V.",2012,x,x,x,v,v,v,v,v,v,x,v,x,x
2013 IEEE 33rd International Conference on Distributed Computing Systems Workshops A Data Analytic Engine Towards Self-Management of Cyber-Physical Systems,"Ding, Min and Chen, Haifeng and Sharma, Abhishek and Yoshihira, Kenji and Jiang, Guofei",,x,x,v,x,v,x,v,v,v,x,v,x,x
Application of Data Stream Outlier Mining Techniques in Steam Generator Safety Early Warning System of Nuclear Power Plant,"Dingping, Liu and Kaitao, Zheng and Qiqi, Yan",2013,x,x,v,x,v,x,v,v,v,x,v,x,x
Semi-supervised learning in nonstationary environments,"Ditzler, Gregory and Polikar, Robi",2011,x,x,x,v,v,v,v,x,v,v,v,x,v
Fast curve segmentation in real time,"Du, Y.a b and Lu, D.a b and Li, D.a b and Wei, W.a b",2007,x,x,x,x,v,x,v,x,x,x,v,x,v
Adaptive Topologic Optimization for Large-Scale Stream Mining,"Ducasse, Raphael and Turaga, Deepak S and van der Schaar, Mihaela",2010,x,x,x,v,v,v,v,v,v,x,v,x,v
Scalable infrastructures for data in motion,"Ediger, D. and McColl, R. and Poovey, J. and Campbell, D.",2014,x,x,v,v,v,v,v,v,v,x,v,v,x
STAGGER: Periodicity mining of data streams using expanding sliding windows,"Elfeky, M.G.a and Aref, W.G.b and Elmagarmid, A.K.b",2006,x,x,x,x,x,v,v,v,v,x,v,x,v
Using convolution to mine obscure periodic patterns in one pass,"Elfeky, M.G. and Aref, W.G. and Elmagarmid, A.K.",2004,x,x,x,v,v,v,x,v,v,x,v,x,v
Mining for emerging technologies within text streams and documents,"Engel, D. and Whitney, P. and Calapristi, G. and Brockman, F.",2009,x,v,v,v,v,v,v,v,v,v,v,x,x
Why does unsupervised pre-training help deep learning?,"Erhan, D. and Courville, A. and Bengio, Y. and Vincent, P.",2010,x,x,x,v,x,v,v,v,v,v,v,x,v
On the Performance of Virtualized Infrastructures for Processing Realtime Streaming Data,"Ericson, Kathleen and Pallickara, Shrideep",2012,x,v,v,x,v,v,v,v,v,v,v,x,x
SSM: A frequent sequential data stream patterns miner,"Ezeife, C.I. and Monwar, M.",2007,x,x,x,v,v,v,v,v,v,x,v,x,x
Novel class detection in concept-drifting data stream mining employing decision tree,"Farid, D.Md. and Rahman, C.M.",2012,x,x,x,x,v,v,v,v,v,x,v,x,v
An adaptive ensemble classifier for mining concept drifting data streams,"Farid, D.M.a and Zhang, L.a and Hossain, A.a and Rahman, C.M.b and Strachan, R.a and Sexton, G.a and Dahal, K.c",2013,x,x,x,x,v,x,v,x,x,x,v,x,v
P2P-FISM: Mining (recently) frequent item sets from distributed data streams over \{P2P\} network,Zahra Farzanyar and Mohammadreza Kangavari and Nick Cercone,2013,x,x,v,x,v,v,v,v,v,x,v,x,x
An Improved Algorithm of Decision Trees for Streaming Data Based on VFDT,{Feixiong Li} and {Quan Liu},2008,x,x,x,x,v,x,v,x,x,x,v,x,v
Neural network learning algorithms for tracking minor subspace in high-dimensional data stream,"Feng, D.-Z.a and Zheng, W.-X.b and Jia, Y.c",2005,x,x,v,x,v,v,v,v,v,x,x,x,v
MFISW: A new method for mining frequent itemsets in time and transaction sensitive sliding window,"Feng, J. and Yan, Z. and Kang, Y. and Wang, J. and An, L.",2009,x,x,v,x,v,x,v,v,v,v,v,x,v
Data stream mining for predicting software build outcomes using source code metrics,"Finlay, J. and Pears, R. and Connor, A.M.",2014,x,x,v,x,v,x,v,v,v,v,v,x,x
An Adaptive Distributed Ensemble Approach to Mine Concept-Drifting Data Streams,"Folino, Gianluigi and Pizzuti, Clara and Spezzano, Giandomenico",2007,x,x,v,x,v,x,v,v,v,v,v,x,v
Incremental Learning Algorithms for Fast Classification in Data Stream,"Fong, Simon and Luo, Zhicong and Yap, Bee Wah",2013,v,v,x,v,v,v,v,v,v,v,v,x,v
Evaluation of stream mining classifiers for real-time clinical decision support system: A case study of blood glucose prediction in diabetes therapy,"Fong, S.a and Zhang, Y.a and Fiaidhi, J.b and Mohammed, O.b and Mohammed, S.b",2013,x,x,v,x,x,v,v,v,v,x,v,x,x
A distributed approach for optimizing cascaded classifier topologies in real-time stream mining systems.,"Foo, Brian and van der Schaar, Mihaela",2010,x,x,v,v,v,v,x,v,v,x,v,x,x
BodyCloud: Integration of Cloud Computing and body sensor networks,"Fortino, Giancarlo and Pathan, Mukaddim and {Di Fatta}, Giuseppe",2012,x,x,v,v,v,v,v,v,v,v,v,v,x
Online and Non-parametric Drift Detection Methods Based on HoeffdingÃ¢â‚¬â„¢s Bounds,"Frias-Blanco, Isvani and del Campo-Avila, Jose and Ramos-Jimenez, Gonzalo and Morales-Bueno, Rafael and Ortiz-Diaz, Agustin and Caballero-Mota, Yaile",2014,x,x,v,x,v,v,x,v,v,x,x,x,v
Distributed data stream classification for wireless sensor networks,"Gaber, M.M.a and Shiddiqi, A.M.b",2010,x,x,x,v,v,v,v,v,v,x,v,x,v
Detection and classification of changes in evolving data streams,"Gaber, M.M.a and Yu, P.S.b",2006,x,x,v,x,v,x,v,v,v,x,v,x,v
Interactive self-adaptive clutter-aware visualisation for mobile data mining,Mohamed Medhat Gaber and Shonali Krishnaswamy and Brett Gillick and Hasnain AlTaiar and Nicholas Nicoloudis and Jonathan Liono and Arkady Zaslavsky,2013,x,x,v,x,v,x,v,v,v,x,v,v,x
